"","provincia_iso","fecha","num_casos","num_casos_prueba_pcr","num_casos_prueba_test_ac","num_casos_prueba_otras","num_casos_prueba_desconocida","Comunidad.autónoma"
"312","AB","2020-07-01",0,0,0,0,0,"CM"
"313","AB","2020-08-05",14,14,0,0,0,"CM"
"314","AB","2020-08-23",50,50,0,0,0,"CM"
"315","AB","2020-02-29",4,1,0,0,3,"CM"
"316","AB","2020-05-27",5,5,0,0,0,"CM"
"317","AB","2020-05-13",1,1,0,0,0,"CM"
"318","AB","2020-06-28",2,1,0,1,0,"CM"
"319","AB","2020-08-27",67,67,0,0,0,"CM"
"320","AB","2020-07-04",0,0,0,0,0,"CM"
"321","AB","2020-05-16",3,3,0,0,0,"CM"
"322","AB","2020-08-10",25,25,0,0,0,"CM"
"323","AB","2020-07-23",1,1,0,0,0,"CM"
"324","AB","2020-08-24",67,67,0,0,0,"CM"
"325","AB","2020-08-06",21,21,0,0,0,"CM"
"326","AB","2020-02-23",0,0,0,0,0,"CM"
"327","AB","2020-03-01",10,2,0,0,8,"CM"
"328","AB","2020-06-22",0,0,0,0,0,"CM"
"329","AB","2020-05-14",0,0,0,0,0,"CM"
"330","AB","2020-08-14",44,44,0,0,0,"CM"
"331","AB","2020-08-21",62,62,0,0,0,"CM"
"332","AB","2020-05-25",7,7,0,0,0,"CM"
"333","AB","2020-05-17",0,0,0,0,0,"CM"
"334","AB","2020-06-01",3,3,0,0,0,"CM"
"335","AB","2020-07-24",7,7,0,0,0,"CM"
"336","AB","2020-07-10",1,1,0,0,0,"CM"
"337","AB","2020-07-17",1,1,0,0,0,"CM"
"338","AB","2020-06-09",1,1,0,0,0,"CM"
"339","AB","2020-08-08",18,18,0,0,0,"CM"
"340","AB","2020-06-05",4,4,0,0,0,"CM"
"341","AB","2020-05-15",3,3,0,0,0,"CM"
"342","AB","2020-02-17",0,0,0,0,0,"CM"
"343","AB","2020-08-29",53,53,0,0,0,"CM"
